Date,Open,High,Low,Close,Volume
2026-01-14,149.5034210812169,150.0034210812169,149.0034210812169,149.5034210812169,1003115
2026-01-15,149.5034210812169,150.69085296825966,149.0034210812169,150.19085296825966,972995
2026-01-16,150.19085296825966,150.69085296825966,148.5607399343851,149.0607399343851,946270
2026-01-19,149.0607399343851,149.5607399343851,148.42975075551078,148.92975075551078,1073007
2026-01-20,148.92975075551078,149.56896374497097,148.42975075551078,149.06896374497097,969070
2026-01-21,149.06896374497097,149.8177237604064,148.56896374497097,149.3177237604064,999614
2026-01-22,149.3177237604064,149.8177237604064,147.8933846198879,148.3933846198879,917367
2026-01-23,148.3933846198879,148.8933846198879,146.97742119715366,147.47742119715366,1089605
2026-01-26,147.47742119715366,149.0346769805168,146.97742119715366,148.5346769805168,959694
2026-01-27,148.5346769805168,149.03950693944591,148.0346769805168,148.53950693944591,934673
2026-01-28,148.53950693944591,149.61649107137023,148.03950693944591,149.11649107137023,1053119
2026-01-29,149.11649107137023,150.95525840130125,148.61649107137023,150.45525840130125,1049542
2026-01-30,150.45525840130125,150.95525840130125,149.77694385810008,150.27694385810008,993107
2026-02-02,150.27694385810008,150.77694385810008,147.4739230776611,147.9739230776611,1025976
2026-02-03,147.9739230776611,148.4739230776611,146.84278614685792,147.34278614685792,1094549
2026-02-04,147.34278614685792,147.96693288217043,146.84278614685792,147.46693288217043,1096416
2026-02-05,147.46693288217043,147.96693288217043,145.23701299744866,145.73701299744866,1096749
2026-02-06,145.73701299744866,147.74155078117343,145.23701299744866,147.24155078117343,1079002
2026-02-09,147.24155078117343,147.74155078117343,144.9670711039765,145.4670711039765,994786
2026-02-10,145.4670711039765,145.9670711039765,143.83191786926574,144.33191786926574,963570
2026-02-11,144.33191786926574,145.730430973965,143.83191786926574,145.230430973965,989175
2026-02-12,145.230430973965,146.28696988019607,144.730430973965,145.78696988019607,1055752
